Title;Course_code;Credits;Period;Course_Level;Faculty;Course_Coordinator;Examiner;Teaching_Staff;Target_Audiences;Entry_Requirements;Course_Content;URL;;;;;;;;;
Academic Skills CIW;L_AABAALGAV7;6 EC;P2+3;100;Dutch;Faculty of Humanities;dr. W.G. Reijnierse;dr. W.G. Reijnierse;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;In de academische wereld heb je te maken met verschillende soorten informatie. In dit vak leer je hoe je informatie kunt vinden en op waarde kunt schatten. Je leert ook wat de structuur is van academische papers en hoe je de kern uit een artikel kunt halen. Door het uitvoeren van literatuuronderzoek verdiep je je in een specifiek onderwerp binnen de taal en communicatie. De resultaten van dit onderzoek presenteer je (mondeling en schriftelijk) op een aantrekkelijke manier volgens de wetenschappelijke standaarden.;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAALGAV7;;;;;;;;;
Academische vaardigheden en tutoraat Natuur- en Sterrenkunde;XBU_0015;2 EC;P1+2+3+4+5;100;Dutch;Faculty of Science;J.G.H. Kessels;;;NA;https://studiegids.uva.nl/xmlpages/page/2024-2025/zoek-vak/vak/119139;https://studiegids.vu.nl/en/courses/2024-2025/XBU_0015;;;;;;;;;
Academic Skills Arts and Culture (Dutch);L_AABAKECACV;6 EC;P2;100;Dutch;Faculty of Humanities;dr. C. Tjahja;dr. C. Tjahja;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAKECACV;;;;;;;;;
Academic Skills Literature and Society 1;L_ALBALESAV3;3 EC;P2;100;Dutch;Faculty of Humanities;dr. P.H. Moser;dr. P.H. Moser;;NA;Als student Literatuur en Samenleving: Creatief Schrijven leer je tijdens je studie zelfstandig onderzoek;https://studiegids.vu.nl/en/courses/2024-2025/L_ALBALESAV3;;;;;;;;;
Academic Skills Literature and Society 2;L_ALBALESAV4;3 EC;P3;100;Dutch;Faculty of Humanities;dr. P.H. Moser;dr. P.H. Moser;;Om aan deze cursus deel te nemen moet je AcVa 1 hebben afgerond.;In deze cursus ga je de geschreven eindopdracht van AcVa1 verwerken in een mondelinge presentatie. Je leert rekening te houden met het publiek, je oefent met korte en lange versies van dezelfde presentatie, en je leert hoe je retorische middelen effectief kunt inzetten.;https://studiegids.vu.nl/en/courses/2024-2025/L_ALBALESAV4;;;;;;;;;
Academic Skills Researchtalent;R_PropWr;6 EC;P3;600;Dutch;Faculty of Law;dr. V.R. van der Geest;dr. V.R. van der Geest;;NA;In the first session, our students will practise the so-called Elevator;https://studiegids.vu.nl/en/courses/2024-2025/R_PropWr;;;;;;;;;
Academic Skills premasterclass;L_AAPMALGACV;3 EC;P1;100;Dutch;Faculty of Humanities;dr. W.G. Reijnierse;dr. W.G. Reijnierse;;NA;Deze cursus bestaat uit een aantal verschillende onderdelen, verdeeld;https://studiegids.vu.nl/en/courses/2024-2025/L_AAPMALGACV;;;;;;;;;
Academic Skills for Historians;L_AABAGESACV;6 EC;P1;100;Dutch;Faculty of Humanities;dr. P.H. Moser;dr. P.H. Moser;Extra curricular course for VU students, Secondary subject for non-VU students;NA;Als student Geschiedenis leer je tijdens je studie zelfstandig onderzoek;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAGESACV;;;;;;;;;
Academic Exploration;B_ACVERK;6 EC;P1+2+3;100;Dutch;Faculty of Behavioural and Movement Sc.;T. Rigterink;drs. M.G.J. Buijtenweg;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/B_ACVERK;;;;;;;;;
ACASA Excursion;L_AABAAGO204;6 EC;P4;200;English;Faculty of Humanities;dr. E.M. van Opstall;dr. E.M. van Opstall;Extra curricular course for VU students;NA;You take introductory lectures on material, (cultural-) historical, textual, and Nachleben- and heritage-related aspects of the excursion destination. In addition, you attend subject-specific seminars (either materially or textually focused), which will further prepare you on aspects of the excursion destination (e.g., use of sources, specific themes, or aspects of the subject literature) and on writing an individual paper or a contribution to the travel guide on a topic related to the excursion destination. During the excursion you will give a presentation based on your paper at a specific site or museum, attempting to address as many of the above aspects as possible in an integrated manner (i.e., material and textual).;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAAGO204;;;;;;;;;
Accelerator-Centric Computing Ecosystems;XM_0171;6 EC;P5;400;English;Faculty of Science;dr. T. De Matteis;dr. T. De Matteis;;NA;The course will consist of weekly lectures, lab sessions, and practical programming assignments.;https://studiegids.vu.nl/en/courses/2024-2025/XM_0171;;;;;;;;;
Accounting;E_BK1_ACC;6 EC;P2;100;Dutch;School of Business and Economics;dr. B.J. Bruin;dr. B.J. Bruin;Secondary subject for non-VU students;NA;Na het volgen van Accounting begrijp je het belang van accounting-informatie voor ondernemingen. Je weet dat verschillende soorten gebruikers (zowel binnen een onderneming als externe stakeholders) verschillende informatiebehoeften hebben en dat er diverse soorten Accounting methoden en technieken zijn om in deze informatiebehoeften te voorzien.;https://studiegids.vu.nl/en/courses/2024-2025/E_BK1_ACC;;;;;;;;;
Accounting;E_IBA1_ACC;6 EC;P5;100;English;School of Business and Economics;dr. F.M. Arshad;dr. F.M. Arshad;Secondary subject for non-VU students, Part of an Exchange Programme;NA;Accounting is the language required to do business. It allows executives, managers and employees to communicate; it allows investors, analysts, and governmental authorities to understand how an organization is doing. Thanks to the International Financial Reporting Standards, accounting can be seen as a global language, spoken across most countries.;https://studiegids.vu.nl/en/courses/2024-2025/E_IBA1_ACC;;;;;;;;
Accounting, Business and Society;E_IBA2_ABS;6 EC;P4;200;English;School of Business and Economics;C.M. Rigsby;C.M. Rigsby;Secondary subject for non-VU students, Part of an Exchange Programme;NA;The concept of corporate citizenship has become increasingly important in recent years. It entails the recognition that businesses do not solely follow the demands of shareholders, but likewise assume responsibility for the social and environmental impact of their activities on the communities in which they operate. In turn, this means that companies can, and need to, be held accountable for their conduct of business. The overarching theme of this course is hence the notion of accountability to assess the citizenship role of companies and their managers. In doing so, it takes two distinct perspective. First, it covers external reporting practices, which are determined by firms’ regulatory frameworks as well as financial and non-financial reporting. The course strives to enhance your ability to make sense of such accounting information and assess the companies’ financial and non-financial performance through financial statement analysis, valuation, and carbon accounting. Second, the course addresses firms’ internal reporting practices, highlighting the importance of communication and control of company goals to subdivisions and employees. Budgeting, performance measurement, and the balanced scorecard are discussed not only as tools of management control, but also in terms of their implications on individual employees and decision-makers.;https://studiegids.vu.nl/en/courses/2024-2025/E_IBA2_ABS;;;;;;;;;
Accounting I;E_EBE1_ACC1;6 EC;P4;100;English;School of Business and Economics;dr. B.J. Bruin;dr. B.J. Bruin;Secondary subject for non-VU students, Part of an Exchange Programme;NA;Accounting is the language that allows to do business. It allows executives, managers and employees to communicate how an organization is doing; it allows investors, analysts, and governmental authorities to understand how an organization is doing.;https://studiegids.vu.nl/en/courses/2024-2025/E_EBE1_ACC1;;;;;;;;
Accounting II;E_EBE2_ACC2;6 EC;P1;200;English;School of Business and Economics;dr. D. Detzen;dr. D. Detzen;Secondary subject for non-VU students, Part of an Exchange Programme;NA;The knowledge that you gained in the first year of the BSc Economics and Business Economics, specifically Accounting I, will be broadened and deepened. While Accounting I introduced you to specific methods and techniques in accounting from a preparer’s perspective, Accounting II takes the perspective of a user of accounting information. After completing this course, you will thus be able to critically analyze and interpret accounting information.;https://studiegids.vu.nl/en/courses/2024-2025/E_EBE2_ACC2;;;;;;;;;
Accounting II;E_BK2_ACC2;6 EC;P4;200;Dutch;School of Business and Economics;dr. M. Schoute;dr. M. Schoute;Secondary subject for non-VU students;NA;Je zult accounting informatie vanuit een gebruikersperspectief beoordelen. Je zult jaarrekeningen van bedrijven analyseren op basis van een veelgebruikt raamwerk voor het analyseren en waarderen van bedrijven. Tevens zal jouw begrip van belangrijke management accounting methoden en technieken toenemen en zul je deze methoden en technieken toepassen.;https://studiegids.vu.nl/en/courses/2024-2025/E_BK2_ACC2;;;;;;;;;
Accounting Information Systems;E_EBE3_ACIS;6 EC;P4;300;English;School of Business and Economics;drs. J.B.T. Bergsma RA;drs. J.B.T. Bergsma RA;Secondary subject for non-VU students, Part of an Exchange Programme;NA;Managers need reliable and relevant information to take all kind of decisions. This information is provided by accounting information systems. Employees from different departments record data in computerized information systems. This data is processed into information through applications. The controlling department is responsible for checking the reliablity of this information.;https://studiegids.vu.nl/en/courses/2024-2025/E_EBE3_ACIS;;;;;;;;;
Law Enforcement Agencies;R_ACTOR16;6 EC;P3;100;Dutch;Faculty of Law;dr. T.S. van Veldhuizen;dr. T.S. van Veldhuizen;;NA;Veel studenten weten wel ongeveer wie wat doet bij handhaving en;https://studiegids.vu.nl/en/courses/2024-2025/R_ACTOR16;;;;;;;;;
Current Issues in Internet Law;R_Act.intern;12 EC;P1+2;500;Dutch;Faculty of Law;prof. mr. A.R. Lodder;prof. mr. A.R. Lodder;Secondary subject for non-VU students, Open course;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/R_Act.intern;;;;;;;;;
A Cultural History of the Ancient World 1: The Near East and the Greek World;L_AABAAGO101;6 EC;P2;100;English;Faculty of Humanities;prof. dr. J.P. Crielaard;prof. dr. J.P. Crielaard;Extra curricular course for VU students;NA;This course offers you an overview of the major historical and cultural developments in the Mediterranean and the Near East between ca. 4000 and 300 BCE. The overview is presented on the basis of a selection of objects, buildings and find places. Recurring themes are the emergence and development of states and political systems, social and political complexity, cultural identity and interconnectivity. Two aspects are particularly important: how developments in different parts of the Mediterranean and Near East were interrelated, and the interplay between material culture and mental concepts in these developments. Next to the lectures, you work on assignments for the weekly seminars that help you to further explore specific topics, to relate theory to practice, and to work with written sources (in translation) and original (archaeological) materials from the collection of the Allard Pierson Museum.;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAAGO101;;;;;;;;;
A Cultural History of the Ancient World 2: The Hellenistic World, Italy and Rome;L_AABAAGO102;6 EC;P4;100;English;Faculty of Humanities;dr. K.M. Klein;dr. K.M. Klein;Extra curricular course for VU students;NA;This course offers an overview of the major historical and cultural developments in Italy and the Roman world between ca. 1100 BCE and CE 400, and traces the intensifying interaction of Rome with the wider Hellenistic and Mediterranean world. Recurring themes are (1) the emergence and development of states and political systems, in particular the Etruscan city-states, the Roman republic and the Roman empire; (2) how developments in different parts of the Mediterranean were interrelated; and (3) the interplay between material culture and mental concepts in these developments. In addition to the lectures, you work on assignments that help you to further explore specific topics, to relate theory to practice, and to work with written sources (in translation) and original materials from the collection of the Allard Pierson.;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAAGO102;;;;;;;
Adaptation Studies;L_ELMALTK007;6 EC;P2+3;400;English;Faculty of Humanities;prof. dr. D.M. Oostdijk;prof. dr. D.M. Oostdijk;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;NA;In this course, we discuss why certain stories keep being retold in different media, what is gained and what is lost in the process of adaptations, who is involved in the process of adaptation, and what the tools are that adaptors have in retelling stories in different media.;https://studiegids.vu.nl/en/courses/2024-2025/L_ELMALTK007;;;;;;;;;
Adaptation to Human Environments;AB_1219;6 EC;P2;300;English;Faculty of Science;dr. W.H. Halfwerk;dr. W.H. Halfwerk;Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/AB_1219;;;;;;;;;
